source,contenu,source_date
"Rapport sur le rapport 2023 de la Commission sur l’état de droit (A9-0025/2024 - Sophia in 't Veld)
28-02-2024","J’ai soutenu l’adoption de ce rapport qui s’appuie sur le rapport annuel 2023 de la Commission européenne sur l’état de droit, un thème prioritaire de mon groupe Renew Europe. Depuis 2020, cet état des lieux annuel fait le point, dans le détail, de la situation sur l’indépendance de la justice, la lutte contre la corruption, le pluralisme et la liberté des médias, la protection des journalistes, la liberté d’expression et le respect du droit. Il formule également des recommandations précieuses, pays par pays, pour lutter contre les attaques aux principes fondamentaux de nos démocraties. Je regrette toutefois un paragraphe infondé sur l’usage injustifié de la force par les forces de l’ordre en Europe et en France qui ne reflète pas l’engagement de nos policiers au service de notre sécurité commune et de nos libertés.",28-02-2024
"Compétence, loi applicable, reconnaissance des décisions et acceptation d'actes authentiques en matière de parentalité et concernant la création d'un certificat européen de parentalité (A9-0368/2023 - Maria-Manuel Leitão-Marques)
14-12-2023","J’ai voté en faveur de cette résolution visant à reconnaître de manière automatique et dans chaque État membre de l’Union les liens de filiation établis en son sein. Cette disposition sera garantie par la création d’un certificat européen de filiation, accessible à toutes les familles et reconnu partout sur le territoire de l’Union européenne.
Ce vote constitue une grande avancée pour la protection des droits des familles, notamment des familles homoparentales. Je me réjouis que ce texte ait obtenu un soutien fort du Parlement européen.",14-12-2023
"Cadre permettant d’assurer un approvisionnement durable et sûr en matières premières critiques (A9-0260/2023 - Nicola Beer)
12-12-2023","J’ai voté en faveur de cet accord de trilogue relatif à l’approvisionnement en matières premières critiques. Cet accord détermine des objectifs ambitieux pour garantir que l’Union dispose d’un accès autonome aux matières premières critiques essentielles à de nombreuses technologies, du numérique à la production d’énergies renouvelables. À l’horizon 2030, au moins 10 % de la consommation annuelle de l’Union en matières premières critiques essentielles devra être issue du sous-sol européen, et les capacités de traitement et de recyclage dans l’Union devront couvrir respectivement 40 % et 25 % de la consommation annuelle de l’Union. Par ailleurs, et afin d’éviter une dépendance trop problématique à un seul pays tiers, ce règlement prévoit que pour chaque matière première critique, la consommation annuelle de l’Union ne pourra pas reposer à plus de 65 % sur un seul partenaire commercial.
En parallèle, ce règlement prévoit de nouvelles dispositions pour réduire la durée des procédures d’octroi de permis pour des projets d’extraction, de traitement ou de recyclage des matières premières critiques au sein de l'Union.
Je suis ravie que le Parlement européen et le Conseil se soient entendus sur cette législation. Elle marque une avancée majeure pour la défense de notre autonomie stratégique et de notre industrie européenne.",12-12-2023
"Les attaques terroristes abjectes du Hamas contre Israël, le droit d'Israël à se défendre conformément au droit humanitaire et international et la situation humanitaire à Gaza (RC-B9-0436/2023, B9-0436/2023, B9-0438/2023, B9-0442/2023, B9-0444/2023, B9-0445/2023, B9-0447/2023, B9-0448/2023)
19-10-2023","J’ai voté en faveur de cette résolution relative aux attaques infâmes menées par le groupe terroriste du Hamas en Israël, ainsi qu’à la détérioration très préoccupante de la situation humanitaire dans la région. Je condamne avec la plus grande fermeté les attaques barbares menées par le Hamas contre Israël, ayant conduit à la mort de plus de 1400 Israéliens et de nombreuses prises d’otage. Face à ces attaques, notre discours doit être ferme, sans pudeur ni complaisance : le Hamas est un groupe terroriste qui doit être combattu avec la plus grande détermination.
Tout en garantissant le droit légitime d’Israël à assurer sa défense et en nous positionnant pour l’élimination du Hamas, il est urgent d’agir pour venir en aide aux populations civiles de la bande de Gaza, alors que la situation humanitaire y est devenue extrêmement préoccupante. Grâce à Renew Europe, le Parlement européen s’est accordé sur la nécessité d’organiser une pause humanitaire, et d’augmenter urgemment l’aide humanitaire internationale à destination des populations civiles de la bande de Gaza. Le budget européen doit continuer de soutenir les populations civiles en Palestine, tout en garantissant avec la plus grande rigueur que les fonds européens sont toujours bien utilisés à bon escient.",19-10-2023
"Budget général de l’Union européenne pour l’exercice 2024 – toutes sections (A9-0288/2023 - Siegfried Mureşan, Nils Ušakovs)
18-10-2023","J’ai pour ce texte. Il est essentiel que le budget européen 2024 soit flexible et doté des ressources nécessaires pour faire face aux crises. Le Parlement s’est ainsi prononcé pour augmenter les crédits alloués à plusieurs programmes de financement, notamment Horizon Europe pour la recherche, Erasmus+, Creative Europe ou encore LIFE pour la préservation de l’environnement. Ce budget 2024 devra également accorder une importance particulière à la gestion des flux migratoires, à la défense ainsi qu’à la protection des droits fondamentaux. En cas de crise, il sera nécessaire d’augmenter les crédits alloués à la réserve de solidarité et d’aide d’urgence.
Je me suis opposée à la suspension des fonds européens à destination des populations palestiniennes. Cet argent est capital pour subvenir aux besoins essentiels des populations civiles, et l’Union supervise rigoureusement l’utilisation faite de ces fonds. Sans jamais transiger avec nos exigences en matière de contrôle des fonds européens, il n’est pas question de céder aux fausses informations propagées par l’extrême droite.
Cette résolution constitue un message fort au Conseil: notre budget doit être ambitieux pour protéger les citoyens, défendre notre autonomie stratégique et affronter les crises.",18-10-2023
"Composition du Parlement européen (A9-0265/2023 - Loránt Vincze, Sandro Gozi)
13-09-2023","Je me suis prononcée en faveur de ce projet de décision du Conseil relatif à la composition du Parlement européen pour la prochaine mandature. Les évolutions démographiques constatées dans chaque État membre de l’UE devront s’accompagner d’une redistribution du nombre de sièges de parlementaires européens par pays. Avec cette décision, la France obtiendra deux sièges supplémentaires en 2024, portant à 81 le nombre d’eurodéputés français.",13-09-2023
"Modifications du règlement intérieur du Parlement en vue de renforcer l’intégrité, l’indépendance et la responsabilité (A9-0262/2023 - Gabriele Bischoff)
13-09-2023","J’ai voté en faveur de ce rapport visant à réformer les règles internes du Parlement européen. La crise du Qatargate a mis en évidence d’importantes défaillances dans le fonctionnement interne de notre institution auxquelles il fallait impérativement remédier pour garantir le bon fonctionnement de notre démocratie européenne.
Par ce vote, nous introduisons de nouvelles dispositions en matière de lutte contre les conflits d’intérêt, et imposons une plus grande transparence quant aux activités réalisées par les parlementaires et leurs équipes, notamment via l’introduction d’une obligation de publier l’intégralité des entretiens réalisés avec un représentant d’intérêts ou de pays tiers. Les groupes d’amitié seront quant à eux soumis à des exigences de transparence renforcées.
Je me réjouis que nous soyons parvenus à nous accorder sur une réforme ambitieuse des règles internes du Parlement européen. Celle-ci était plus que jamais nécessaire pour préserver la confiance des citoyens européens dans notre institution.",13-09-2023
"Directive sur les énergies renouvelables (A9-0208/2022 - Markus Pieper)
12-09-2023","J’ai voté en faveur de cet accord de trilogue relatif à la révision de la directive sur les énergies renouvelables. Avec ce vote, nous avons convenu d’accélérer la production d’énergies renouvelables en Europe, avec l’objectif qu’elles puissent couvrir au moins 42,5% de notre mix énergétique à l’horizon 2030.
Je me réjouis de l’adoption finale de ce texte clé du pacte vert pour l’Europe. Il permettra d’engager résolument l’Europe sur la voie de la décarbonation, tout en consolidant notre souveraineté énergétique. C’est une victoire pour mon groupe Renew, mais aussi pour le Parlement européen, qui est parvenu à relever le niveau d’ambition de ce texte par rapport à l’approche générale du Conseil.",12-09-2023
"Acte législatif de soutien à la production de munitions (C9-0161/2023)
13-07-2023","Je me félicite de l’adoption de cet accord de trilogue permettant la création du nouvel instrument européen ASAP, destiné à accroître la production de munitions en Europe.
Grâce à cet instrument, nous mobiliserons près de 500 millions d’euros pour porter à 1 million la production annuelle de munitions dans l’Union.
Cet accord de trilogue constitue une avancée majeure pour doter l’UE des moyens de renforcer sa sécurité et de jouer un rôle géopolitique dans un monde en crise, en particulier à la lumière de l’invasion russe de l’Ukraine.",13-07-2023
"Recommandations pour la réforme des règles du Parlement européen en matière de transparence, d’intégrité, de responsabilité et de lutte contre la corruption (A9-0215/2023 - Vladimír Bilčík, Nathalie Loiseau)
13-07-2023","J’ai voté en faveur de ce rapport de ma collègue Nathalie Loiseau visant à réformer les règles du Parlement européen et protéger notre institution des ingérences étrangères. Avec ce rapport, nous avons acté la nécessité de renforcer la culture de la sécurité au sein du Parlement européen, en prévoyant l’organisation de formations à la sécurité ou l’octroi d’une habilitation spéciale pour certains membres du personnel. Pour renforcer la transparence dans notre institution, nous appelons à réformer le registre de transparence de l’UE et à constituer une véritable Autorité d’éthique indépendante. En parallèle, nous réaffirmons la nécessité de renforcer le contrôle des activités en relation avec des pays tiers, en particulier via l'interdiction des groupes d’amitié.",13-07-2023
