,party,country,orientation,number,ref
MAGDALENA_ADAMOWICZ,Groupe du Parti populaire européen (Démocrates-Chrétiens),Pologne,Independent,197490,https://www.europarl.europa.eu/meps/fr/197490
ASIM_ADEMOV,Groupe du Parti populaire européen (Démocrates-Chrétiens),Bulgarie,Citizens for European Development of Bulgaria,189525,https://www.europarl.europa.eu/meps/fr/189525
ISABELLA_ADINOLFI,Groupe du Parti populaire européen (Démocrates-Chrétiens),Italie,Forza Italia,124831,https://www.europarl.europa.eu/meps/fr/124831
MATTEO_ADINOLFI,Groupe «Identité et démocratie»,Italie,Lega,197826,https://www.europarl.europa.eu/meps/fr/197826
ALEX_AGIUS_SALIBA,Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen,Malte,Partit Laburista,197403,https://www.europarl.europa.eu/meps/fr/197403
MAZALY_AGUILAR,Groupe des Conservateurs et Réformistes européens,Espagne,VOX,198096,https://www.europarl.europa.eu/meps/fr/198096
CLARA_AGUILERA,Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen,Espagne,Partido Socialista Obrero Español,125045,https://www.europarl.europa.eu/meps/fr/125045
ALVIINA_ALAMETSÄ,Groupe des Verts/Alliance libre européenne,Finlande,Vihreä liitto,204335,https://www.europarl.europa.eu/meps/fr/204335
JOÃO_ALBUQUERQUE,Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen,Portugal,Partido Socialista,237224,https://www.europarl.europa.eu/meps/fr/237224
ALEXANDER_ALEXANDROV_YORDANOV,Groupe du Parti populaire européen (Démocrates-Chrétiens),Bulgarie,Union of Democratic Forces,197836,https://www.europarl.europa.eu/meps/fr/197836
FRANÇOIS_ALFONSI,Groupe des Verts/Alliance libre européenne,France,Régions et Peuples Solidaires,96750,https://www.europarl.europa.eu/meps/fr/96750
ATIDZHE_ALIEVA-VELI,Groupe Renew Europe,Bulgarie,Movement for Rights and Freedoms,197848,https://www.europarl.europa.eu/meps/fr/197848
ABIR_AL-SAHLANI,Groupe Renew Europe,Suède,Centerpartiet,197400,https://www.europarl.europa.eu/meps/fr/197400
CATHERINE_AMALRIC,Groupe Renew Europe,France,Parti Radical,247122,https://www.europarl.europa.eu/meps/fr/247122
ANDRIS_AMERIKS,Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen,Lettonie,Gods kalpot Rīgai,197783,https://www.europarl.europa.eu/meps/fr/197783
CHRISTINE_ANDERSON,Groupe «Identité et démocratie»,Allemagne,Alternative für Deutschland,197475,https://www.europarl.europa.eu/meps/fr/197475
RASMUS_ANDRESEN,Groupe des Verts/Alliance libre européenne,Allemagne,Bündnis 90/Die Grünen,197448,https://www.europarl.europa.eu/meps/fr/197448
BARRY_ANDREWS,Groupe Renew Europe,Irlande,Fianna Fáil Party,204332,https://www.europarl.europa.eu/meps/fr/204332
MATHILDE_ANDROUËT,Groupe «Identité et démocratie»,France,Rassemblement national,197691,https://www.europarl.europa.eu/meps/fr/197691
MARC_ANGEL,Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen,Luxembourg,Parti ouvrier socialiste luxembourgeois,202073,https://www.europarl.europa.eu/meps/fr/202073
GEROLF_ANNEMANS,Groupe «Identité et démocratie»,Belgique,Vlaams Belang,124973,https://www.europarl.europa.eu/meps/fr/124973
